Camusot de Marville
"Bridau, Philippe"
"Beaupre, Fanny"
"Tours-Minieres, Bernard-Polydor Bryond, Baron des"
"Sechard, Madame David"
"Grandlieu, Vicomtesse Juste de"
"Nathan, Madame Raoul"
"Bixiou, Jean-Jacques"
Massol
"Gaudissart, Felix"
"Serizy, Comte Hugret de"
Desplein
"Camps, Madame Octave de"
"Lanty, Marianina de"
Zambinella
"Sallenauve, Comtesse de"
Marion (of Arcis)
"Saint-Hereen, Comtesse Moina de"
Vinet
Varlet
"Troubert, Abbe Hyacinthe"
"Carigliano, Duchesse de"
"Goujet, Abbe"
Suzon
"Canalis, Constant-Cyr-Melchior, Baron de"
"La Bastie la Briere, Madame Ernest de"
"Maufrigneuse, Georges de"
"Michu, Madame Francois"
"Sarrasine, Ernest-Jean"
"Camps, Octave de"
Gothard
Beauvisage (tenant)
"Lanty, Comtesse de"
"Keller, Francois"
"Gaston, Marie"
"Lenoncourt-Givry, Duc de"
"Tillet, Ferdinand du"
"Montriveau, General Marquis Armand de"
"Vien, Joseph-Marie"
Marion (brother)
"Franchessini, Colonel"
"Lanty, Filippo de"
"Maufrigneuse, Berthe de"
Stidmann
"Trailles, Comte Maxime de"
"Gondreville, Malin, Comte de"
"Estorade, Armand de l’"
Mary
"Beauvisage, Phileas"
Hortense
"Bridau, Joseph"
"Michu, Francois"
"Restaud, Madame Ernest de"
"Ronquerolles, Marquis de"
"Hulot, Victorin"
"Estorade, Louis, Chevalier, then Vicomte and Comte de l’"
Philippe
"Hauteserre, D’"
"Keller, Madame Francois"
Dionis
"Fontanon, Abbe"
"Chocardelle, Mademoiselle"
Grevin
"La Roche-Hugon, Martial de"
"Rastignac, Laure-Rose and Agathe de"
"Giguet, Colonel"
"Vinet, Olivier"
"Restaud, Felix-Georges de"
"Cinq-Cygne, Laurence, Comtesse (afterwards Marquise de)"
"Chargeboeuf, Melchior-Rene, Vicomte de"
"Marest, Frederic"
"Cadine, Jenny"
"Brandon, Lady Marie Augusta"
"Cointet, Boniface"
"Estorade, Madame de l’"
"Restaud, Ernest de"
"Arthez, Daniel d’"
"Blondet, Virginie"
"Lanty, Comte de"
"Negrepelisse, De"
"Beaudenord, Godefroid de"
Gentil
"Galathionne, Prince and Princess (both not in each story)"
"Ridal, Fulgence"
"Chatelet, Marie-Louise-Anais de Negrepelisse, Baronne du"
A Bachelor’s Establishment
Coloquinte
"Bruel, Claudine Chaffaroux, Madame du"
Meyraux
"Marsay, Henri de"
"Pombreton, Marquis de"
"Coralie, Mademoiselle"
Camusot
"Bruel, Jean Francois du"
Samanon
Chaboisseau
Berenice
Scenes from a Courtesan’s Life
"Giraud, Leon"
Barbet
"Cabirolle, Agathe-Florentine"
"Chrestien, Michel"
"Listomere, Marquise de"
Palma (banker)
"Listomere, Marquis de"
"Lambert, Louis"
"Cardot, Jean-Jerome-Severin"
Giroudeau
"Foy, Maximilien-Sebastien"
"Vandenesse, Comte Felix de"
"Vignon, Claude"
"Manerville, Paul Francois-Joseph, Comte de"
Matifat (wealthy druggist)
Braulard
Cavalier
"Touches, Mademoiselle Felicite des"
"Crevel, Celestin"
"Rabourdin, Xavier"
Guillaume
Protez and Chiffreville
"Vandenesse, Marquise Charles de"
Mongenod
Lourdois
Haudry (doctor)
"Fontaine, Comte de"
"Cochin, Adolphe"
"Matifat, Mademoiselle"
Thouvenin
Thirion
"Loraux, Abbe"
"Desmartes, Madame Jules"
"Granville, Vicomte de (later Comte)"
"Desmartes, Jules"
"Matifat, Madame"
Roguin
Bidault (known as Gigonnet)
"Popinot, Jean-Jules"
"Roguin, Madame"
"Vaillant, Madame"
"Lebas, Madame Joseph (Virginie)"
"Chiffreville, Monsieur and Madame"
"Birotteau, Cesar"
Werbrust
"Birotteau, Abbe Francois"
"Molineux, Jean-Baptiste"
"Saillard, Madame"
"Gobseck, Jean-Esther Van"
"Cochin, Emile-Louis-Lucien-Emmanuel"
"Listomere, Baronne de"
"Popinot, Anselme"
"Claparon, Charles"
"Popinot, Madame Anselme"
"Sommervieux, Madame Theodore de (Augustine)"
"Lebas, Joseph"
"Montauran, Marquis Alphonse de"
"Ragon, M. and Mme."
"Crottat, Alexandre"
Chaffaroux
"La Billardiere, Athanase-Jean-Francois-Michel, Baron Flamet de"
"Lenoncourt, Duc de"
"Keller, Adolphe"
"Derville, Madame"
"Graff, Wolfgang"
"Hannequin, Leopold"
"Lefebvre, Robert"
"Ronceret, Madame Fabien du"
"Turquet, Marguerite"
Hulot (Marshal)
"Vernisset, Victor de"
Vauvinet
"Steinbock, Count Wenceslas"
"Popinot, Vicomte"
"Falcon, Jean"
"Paz, Thaddee"
"Rochefide, Marquis Arthur de"
Lebas
"Vernou, Felicien', """"Esgrignon, Victurnien, Comte (then Marquis d')"""""
Chanor
"Colleville, Flavie Minoret, Madame"
"Rivet, Achille"
"La Chanterie, Baronne Henri le Chantre de"
"Grassou, Pierre"
"Sinet, Seraphine"
"Brisetout, Heloise"
"La Baudraye, Madame Polydore Milaud de', """"Herouville, Duc d'"""""
"Laginski, Comte Adam Mitgislas"
"Montauran, Marquis de (younger brother of Alphonse de)"
"Lora, Leon de"
Berthier (Parisian notary)
"La Palferine, Comte de"
"Esgrignon, Victurnien, Comte (then Marquis d’)"
"Herouville, Duc d’"
"La Baudraye, Madame Polydore Milaud de"
Mitral
Brezacs (The)
"Gaudron, Abbe"
"Gruget, Madame Etienne"
"Baudoyer, Isidore"
Phellion
"La Bastie la Briere, Ernest de"
"Minorets, The"
"Thuillier, Louis-Jerome"
Fleury
"Schinner, Hippolyte"
Metivier
Laudigeois
"Granson, Athanase"
"Sommervieux, Theodore de"
"Chessel, Madame de"
"Thuillier, Marie-Jeanne-Brigitte"
Thuillier
Colleville
"Rabourdin, Madame"
Saillard
"Godard, Joseph"
Dutocq
"Minard, Madame"
"Ferraud, Comtesse"
"Minard, Auguste-Jean-Francois"
"Falleix, Martin"
Metivier (nephew)
"Godeschal, Francois-Claude-Marie"
Bruno
"Crochard, Charles"
Cardot (Parisian notary)
Couture
"Bousquier, Du (or Du Croisier or Du Bourguier)"
"Cabirolle, Madame"
"Rouget, Jean-Jacques"
"Magus, Elie"
"Brambourg, Comte de (Title of Philippe Bridau, later Joseph)"
"Gerard, Francois-Pascal-Simon, Baron"
"Casteran, De"
"Conti, Gennaro"
Gobenheim
"Halga, Chevalier du"
"Simeuse, Admiral de"
"Cambremer, Pierre"
"Guenic, Gaudebert-Calyste-Charles, Baron du"
"Ronceret, Du"
Blondet (Judge)
"Brossette, Abbe"
Ferdinand
"Portenduere, Vicomtesse Savinien de"
"Ronceret, Fabien-Felicien du (or Duronceret)"
"Rochefide, Marquise de"
"Talleyrand-Perigord, Charles-Maurice de"
"Bonaparte, Lucien"
Bordin
"Murat, Joachim, Prince"
Steingel
"Duroc, Gerard-Christophe-Michel"
"Berthier, Alexandre"
"Regnier, Claude-Antoine"
Rapp
Maurice (de Restaud’s valet)
"Tissot, Pierre-Francois"
"Beauseant, Marquis"
"Rastignac, Baron and Baronne de (Eugene’s parents)"
Jacques (M. de Beauseant’s butler)
"Restaud, Comtesse Anastasie de"
"Taillefer, Victorine"
Therese
"Beauseant, Vicomte de"
"Rastignac, Monseigneur Gabriel de"
"Restaud, Comte de"
"Beauseant, Vicomtesse de"
"Taillefer, Jean-Frederic"
Poiret
"Langeais, Duchesse Antoinette de"
"Carigliano, Marechal, Duc de"
"Galathionne, Princess"
"Vandenesse, Marquis Charles de"
"Lupin, Amaury"
"Marest, Georges"
"Rouvre, Marquis du"
"Serizy, Vicomte de"
"Prieur, Madame"
"Hautoy, Francis du"
Petit-Claud
Courtois
"Cointet, Jean"
Milaud
"Pimentel, Marquis and Marquise de"
Victorine
"Senonches, Jacques de"
Postel
"Courtois, Madame"
"Senonches, Madame Jacques de"
"Sechard, Jerome-Nicholas"
"Stael-Holstein (Anne-Louise-Germaine Necker), Baronne de"
"Maucombe, Comte de"
"Bruel, Claudine Chaffaroux, Madame du', """"Estorade, Louis, Chevalier, then Vicomte and Comte de l'"""""
"Gaston, Louis"
"Beauseant, Marquise de', """"Esgrignon, Victurnien, Comte (then Marquis d')"""""
"Mary', """"Espard, Jeanne-Clementine-Athenais de Blamont-Chauvry, Marquise d'"""""
"Bridau, Joseph', """"Estorade, Madame de l'"""""
"Chaulieu, Eleonore, Duchesse de"
"Dudley, Lady Arabella"
"Rhetore, Duc Alphonse de', """"Arthez, Daniel d'"""", """"Estorade, Armand de l'"""""
"Sechard, Jerome-Nicolas"
"Bargeton, Madame de (see Chatelet, Baronne du)"
"Grozier, Abbe"
"Stanhope, Lady Esther"
Letters of Two Brides
"Ronceret, Madame du"
"Coudrai, Du"
"Leroi, Pierre"
"Scherbelloff, Princesse (or Scherbellof or Sherbelloff)"
"Troisville, Guibelin, Vicomte de"
Chesnel (or Choisnel)
"Esgrignon, Charles-Marie-Victor-Ange-Carol, Marquis d’ (or Des Grignons)"
"Verneuil, Duc de"
"Valois, Chevalier de"
"Esgrignon, Marie-Armande-Claire d’"
"Pamiers, Vidame de"
"Bousquier, Madame du (or du Croisier)"
"Grandet, Charles"
"Aiglemont, General, Marquis Victor d’"
"Toby (Joby, Paddy)"
"Grandet, Victor-Ange-Guillaume"
"Bonaparte, Napoleon"
"Mongenod, Frederic"
Lelewel
"Bourlac, Bernard-Jean-Baptiste-Macloud, Baron de"
"Cibot, Jean (alias Pille-Miche)"
"Vissard, Charles-Amedee-Louis-Joseph Rifoel, Chevalier du"
"Champignelles, De"
"Cadignan, Prince de"
"Fontaine, Madame"
"Brambourg, Comte de"
"Vandenesse, Comtesse Felix de"
"Berthier, Madame (Felicie Cardot)"
Grosstete (younger brother of F. Grosstete)
"Schinner, Hippolyte  The Purse"
"Chatillonest, De  A Woman of Thirty"
"Blondet, Emile  Jealousies of a Country Town"
"Estourny, Charles d’  Scenes from a Courtesan’s Life"
"Fontaine, Comte de  The Chouans"
"La Bastie la Briere, Ernest de  The Government Clerks"
"Maufrigneuse, Duchesse de  The Secrets of a Princess"
"Marsay, Henri de  The Thirteen"
"Cadignan, Prince de  The Secrets of a Princess"
"Serizy, Comte Hugret de  A Start in Life"
"Sommervieux, Theodore de  At the Sign of the Cat and Racket"
"Nucingen, Baronne Delphine de  Father Goriot"
"Herouville, Duc d’  The Hated Son"
Dauriat  A Distinguished Provincial at Paris
"Beaupre, Fanny  A Start in Life"
"La Bastie la Briere, Madame Ernest de (Modeste)  The Member for Arcis"
"Bixiou, Jean-Jacques  The Purse"
"Chaulieu, Henri, Duc de  Letters of Two Brides"
"Canalis, Constant-Cyr-Melchior, Baron de  Letters of Two Brides"
Stidmann  Beatrix
"Serizy, Vicomte de  A Start in Life"
Desplein  The Atheist’s Mass
"Grandlieu, Duc Ferdinand de  The Gondreville Mystery"
"Bridau, Joseph  The Purse"
"Loudon, Prince de  The Chouans"
"Brigaut, Major"
"Falcon, Jean (alias Beaupied or Beau-Pied)"
"Esgrignon, Charles-Marie-Victor-Ange-Carol,"
"Loudon, Prince de"
Stael-Holstein (Anne-Louise-Germaine Necker) Baronne de
"Dudley, Lord"
"Blondet, Virginie (Madame Montcornet)  Jealousies of a Country Town"
"Laginski, Comte Adam Mitgislas  The Imaginary Mistress"
"Ronquerolles, Marquis de  The Imaginary Mistress"
"Rastignac, Eugene de  Father Goriot"
"Bianchon, Horace  Father Goriot"
The Imaginary Mistress
"Nucingen, Baron Frederic de  The Firm of Nucingen"
"Touches, Mademoiselle Felicite des  Beatrix"
"Montriveau, General Marquis Armand de  The Thirteen"
"Blondet, Émile  Jealousies of a Country Town"
"Serizy, Comtesse de  A Start in Life"
"Dudley, Lord  The Lily of the Valley"
"Vandenesse, Comte Felix de  The Lily of the Valley"
"Portenduere, Vicomtesse Savinien de  Ursule Mirouet"
"Gaillard, Madame Theodore (Suzanne)"
"Granson, Athanase', """"Esgrignon, Marie-Armande-Claire d'"""""
"Bousquier, Madame du (du Croisier) (Mlle. Cormon)', """"Esgrignon, Charles-Marie-Victor-Ange-Carol, Marquis d' (or Des Grignons)"""""
"Ronceret, Madame Du"
"Bousquier, Madame du (du Croisier) (Mlle. Cormon)"
"Soulanges, Comte Leon de"
"Laguerre, Mademoiselle"
"Soulanges, Comtesse Hortense de"
"Rouvre, Chevalier du"
"Kergarouet, Comte de"
"Mirouet, Ursule (see Portenduere, Vicomtesse Savinien de)"
"Blamont-Chauvry, Princesse de"
"Manerville, Comtesse Paul de"
"Souchet, Francois"
"Marcas, Zephirin"
Jeanrenaud
"Bourignard, Gratien-Henri-Victor-Jean-Joseph"
"Maulincour, Baronne de"
"Langeais, Duc de"
"Granville, Comtesse Angelique de"
"Gouraud, General, Baron"
"Tiphaine, Madame"
"Vergniaud, Louis"
"Vandenesse, Marquise Charles de (Emilie de Fontaine)"
"Camps, Madame Octave de (nee Cadignan)"
"Chatillonest, De"
Joseph
Euphrasia
Aquilina
Savaron de Savarus
"Nueil, Gaston de"
"Tinti, Clarina"
"Savarus, Albert Savaron de"
Genovese
"Claes, Josephine de Temninck, Madame"
"Casa-Real, Duc de"
"Stevens, Dinah"
"Beauseant, Marquis and Comte de"
"Beauseant, Marquise de"
"Grandville, Vicomte de"
Grossetete (younger brother of F. Grossetete)
"Varese, Princess of"
"Cane, Marco-Facino"
"Varese, Emilio Memmi, Prince of"
"Vendramini, Marco"
"Villenoix, Pauline Salomon de"
"Bourbonne, De"
"Stael-Holstein (Anne-Louise-Germaine Necker, Baronne de)"
Lefebvre
